group,mode,split,accuracy,cross_entropy,macro_per_class_accuracy,n_jets,members,weights
G0,uniform_logit_mean,stack_train,0.7526333333333334,0.6942385756163978,0.7526333333333333,300000,A0 D5,
G0,uniform_logit_mean,stack_val,0.7545266666666667,0.6923512262220834,0.7545266666666667,150000,A0 D5,
G0,uniform_logit_mean,final_test,0.7539533333333334,0.6897847888368863,0.7539533333333334,150000,A0 D5,
G0,scalar_weighted_logit_mean,stack_train,0.7525433333333333,0.6941296496899215,0.7525433333333333,300000,A0 D5,0.54112214 0.45887783
G0,scalar_weighted_logit_mean,stack_val,0.7544466666666667,0.6921943618096941,0.7544466666666667,150000,A0 D5,0.54112214 0.45887783
G0,scalar_weighted_logit_mean,final_test,0.7538,0.6896376784065836,0.7538,150000,A0 D5,0.54112214 0.45887783
G1,uniform_logit_mean,stack_train,0.7545366666666666,0.6909837022378492,0.7545366666666667,300000,D5 D5_seed1 D5_seed2 D5_seed3,
G1,uniform_logit_mean,stack_val,0.7556066666666666,0.6888412638202324,0.7556066666666668,150000,D5 D5_seed1 D5_seed2 D5_seed3,
G1,uniform_logit_mean,final_test,0.75634,0.6866264222493978,0.75634,150000,D5 D5_seed1 D5_seed2 D5_seed3,
G1,scalar_weighted_logit_mean,stack_train,0.75463,0.6908578391225524,0.75463,300000,D5 D5_seed1 D5_seed2 D5_seed3,0.26404124 0.18174572 0.32244965 0.23176336
G1,scalar_weighted_logit_mean,stack_val,0.75556,0.6886464858440794,0.75556,150000,D5 D5_seed1 D5_seed2 D5_seed3,0.26404124 0.18174572 0.32244965 0.23176336
G1,scalar_weighted_logit_mean,final_test,0.75644,0.6865851400780134,0.75644,150000,D5 D5_seed1 D5_seed2 D5_seed3,0.26404124 0.18174572 0.32244965 0.23176336
G2,uniform_logit_mean,stack_train,0.7510333333333333,0.7064696956626972,0.7510333333333333,300000,D5 D6,
G2,uniform_logit_mean,stack_val,0.7517533333333334,0.7049847683984087,0.7517533333333334,150000,D5 D6,
G2,uniform_logit_mean,final_test,0.7526333333333334,0.7018605481503197,0.7526333333333334,150000,D5 D6,
G2,scalar_weighted_logit_mean,stack_train,0.7508633333333333,0.7063522414202463,0.7508633333333334,300000,D5 D6,0.59275788 0.40724215
G2,scalar_weighted_logit_mean,stack_val,0.75188,0.7048876795523141,0.7518799999999999,150000,D5 D6,0.59275788 0.40724215
G2,scalar_weighted_logit_mean,final_test,0.75262,0.7018698637505846,0.75262,150000,D5 D6,0.59275788 0.40724215
G3,uniform_logit_mean,stack_train,0.7501266666666667,0.7084281377713365,0.7501266666666666,300000,E6 E5 E3,
G3,uniform_logit_mean,stack_val,0.7512266666666667,0.7069813098631749,0.7512266666666666,150000,E6 E5 E3,
G3,uniform_logit_mean,final_test,0.75196,0.7044171349403088,0.75196,150000,E6 E5 E3,
G3,scalar_weighted_logit_mean,stack_train,0.7501866666666667,0.7083774586499106,0.7501866666666668,300000,E6 E5 E3,0.8098557 0.0032565317 0.18688774
G3,scalar_weighted_logit_mean,stack_val,0.7512266666666667,0.7069681804930358,0.7512266666666666,150000,E6 E5 E3,0.8098557 0.0032565317 0.18688774
G3,scalar_weighted_logit_mean,final_test,0.7517733333333333,0.7044158458881645,0.7517733333333333,150000,E6 E5 E3,0.8098557 0.0032565317 0.18688774
