run_id,split,field_source,accuracy,cross_entropy,loss,macro_per_class_accuracy,macro_auc,n_jets,best_epoch,selection_metric,best_model_selection_metric_value,selected_field_names,checkpoint,deployable_final_test,per_class_accuracy,confusion_matrix
A0,model_val,hlt_only,0.7511466666666666,0.6978804817263285,0.6978804817295075,0.7511466666666667,,150000,24,accuracy,0.7511466666666666,[],/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/A0/best_model_val.pt,False,"[{""accuracy"": 0.6981333333333334, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10472, ""support"": 15000}, {""accuracy"": 0.7844, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 11766, ""support"": 15000}, {""accuracy"": 0.6425333333333333, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 9638, ""support"": 15000}, {""accuracy"": 0.7604, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 11406, ""support"": 15000}, {""accuracy"": 0.7448, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11172, ""support"": 15000}, {""accuracy"": 0.8994666666666666, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 13492, ""support"": 15000}, {""accuracy"": 0.4457333333333333, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 6686, ""support"": 15000}, {""accuracy"": 0.6949333333333333, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10424, ""support"": 15000}, {""accuracy"": 0.8794666666666666, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 13192, ""support"": 15000}, {""accuracy"": 0.9616, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14424, ""support"": 15000}]","[[10472, 98, 323, 1532, 471, 21, 605, 1038, 324, 116], [91, 11766, 1110, 352, 155, 21, 831, 121, 489, 64], [242, 615, 9638, 1279, 1037, 54, 911, 672, 522, 30], [575, 237, 518, 11406, 1384, 5, 454, 253, 162, 6], [204, 61, 489, 1988, 11172, 40, 267, 341, 432, 6], [118, 10, 114, 25, 68, 13492, 123, 437, 17, 596], [805, 1022, 774, 783, 495, 56, 6686, 4148, 192, 39], [989, 48, 276, 375, 409, 61, 2246, 10424, 158, 14], [196, 244, 364, 234, 605, 21, 49, 71, 13192, 24], [86, 34, 12, 9, 2, 386, 12, 11, 24, 14424]]"
A0,stack_val,hlt_only,0.7495133333333334,0.7027234319114685,0.702723431930542,0.7495133333333334,,150000,24,accuracy,0.7511466666666666,[],/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/A0/best_model_val.pt,False,"[{""accuracy"": 0.6963333333333334, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10445, ""support"": 15000}, {""accuracy"": 0.7842, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 11763, ""support"": 15000}, {""accuracy"": 0.6461333333333333, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 9692, ""support"": 15000}, {""accuracy"": 0.7520666666666667, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 11281, ""support"": 15000}, {""accuracy"": 0.7368, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11052, ""support"": 15000}, {""accuracy"": 0.9013333333333333, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 13520, ""support"": 15000}, {""accuracy"": 0.4418, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 6627, ""support"": 15000}, {""accuracy"": 0.6977333333333333, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10466, ""support"": 15000}, {""accuracy"": 0.8804666666666666, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 13207, ""support"": 15000}, {""accuracy"": 0.9582666666666667, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14374, ""support"": 15000}]","[[10445, 103, 313, 1632, 429, 21, 595, 1016, 313, 133], [98, 11763, 1088, 315, 182, 23, 843, 126, 507, 55], [266, 623, 9692, 1243, 1042, 56, 875, 652, 523, 28], [594, 233, 504, 11281, 1476, 12, 454, 286, 150, 10], [207, 64, 520, 2062, 11052, 28, 261, 369, 434, 3], [106, 16, 99, 35, 75, 13520, 137, 386, 23, 603], [769, 1029, 721, 708, 547, 53, 6627, 4310, 200, 36], [983, 61, 270, 339, 395, 75, 2215, 10466, 169, 27], [168, 259, 356, 246, 601, 32, 46, 60, 13207, 25], [91, 25, 9, 5, 3, 415, 19, 21, 38, 14374]]"
A0,final_test,hlt_only,0.7493533333333333,0.700354972463555,,,,150000,24,accuracy,0.7511466666666666,[],/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/A0/best_model_val.pt,True,,
A1,model_val,hlt_only,0.75248,0.6950926942761739,0.6950926942809423,0.75248,,150000,2,accuracy,0.75248,[],/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/A1/best_model_val.pt,False,"[{""accuracy"": 0.7141333333333333, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10712, ""support"": 15000}, {""accuracy"": 0.8222666666666667, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 12334, ""support"": 15000}, {""accuracy"": 0.6274, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 9411, ""support"": 15000}, {""accuracy"": 0.6768666666666666, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 10153, ""support"": 15000}, {""accuracy"": 0.7846666666666666, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11770, ""support"": 15000}, {""accuracy"": 0.9122, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 13683, ""support"": 15000}, {""accuracy"": 0.4604, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 6906, ""support"": 15000}, {""accuracy"": 0.6864, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10296, ""support"": 15000}, {""accuracy"": 0.8907333333333334, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 13361, ""support"": 15000}, {""accuracy"": 0.9497333333333333, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14246, ""support"": 15000}]","[[10712, 114, 326, 1101, 575, 26, 700, 1003, 380, 63], [95, 12334, 765, 294, 153, 22, 756, 107, 440, 34], [279, 999, 9411, 885, 1121, 66, 988, 632, 598, 21], [746, 297, 664, 10153, 2064, 8, 604, 237, 222, 5], [204, 87, 504, 1202, 11770, 51, 339, 296, 543, 4], [113, 24, 105, 11, 67, 13683, 137, 366, 28, 466], [797, 1137, 752, 504, 580, 71, 6906, 4029, 202, 22], [967, 49, 264, 216, 432, 107, 2463, 10296, 199, 7], [165, 315, 305, 117, 597, 15, 57, 52, 13361, 16], [129, 54, 16, 7, 2, 495, 16, 13, 22, 14246]]"
A1,stack_val,hlt_only,0.7499466666666667,0.7008110891183217,0.7008110891342163,0.7499466666666667,,150000,2,accuracy,0.75248,[],/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/A1/best_model_val.pt,False,"[{""accuracy"": 0.7079333333333333, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10619, ""support"": 15000}, {""accuracy"": 0.8266666666666667, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 12400, ""support"": 15000}, {""accuracy"": 0.6204666666666667, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 9307, ""support"": 15000}, {""accuracy"": 0.6713333333333333, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 10070, ""support"": 15000}, {""accuracy"": 0.7806666666666666, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11710, ""support"": 15000}, {""accuracy"": 0.9130666666666667, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 13696, ""support"": 15000}, {""accuracy"": 0.45213333333333333, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 6782, ""support"": 15000}, {""accuracy"": 0.6911333333333334, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10367, ""support"": 15000}, {""accuracy"": 0.8921333333333333, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 13382, ""support"": 15000}, {""accuracy"": 0.9439333333333333, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14159, ""support"": 15000}]","[[10619, 135, 312, 1180, 576, 25, 678, 1028, 379, 68], [93, 12400, 717, 258, 178, 19, 744, 120, 444, 27], [307, 1036, 9307, 875, 1171, 79, 990, 609, 610, 16], [741, 270, 641, 10070, 2121, 14, 620, 289, 231, 3], [220, 96, 560, 1227, 11710, 37, 323, 324, 502, 1], [111, 21, 104, 25, 71, 13696, 141, 342, 25, 464], [769, 1146, 708, 454, 615, 80, 6782, 4223, 201, 22], [954, 53, 268, 188, 450, 124, 2397, 10367, 187, 12], [137, 318, 307, 92, 609, 28, 58, 55, 13382, 14], [128, 39, 8, 2, 6, 572, 22, 22, 42, 14159]]"
A2,model_val,hlt_only,0.7529466666666667,0.6947952482382457,0.6947952482398351,0.7529466666666667,,150000,18,accuracy,0.7529466666666667,[],/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/A2/best_model_val.pt,False,"[{""accuracy"": 0.7310666666666666, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10966, ""support"": 15000}, {""accuracy"": 0.822, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 12330, ""support"": 15000}, {""accuracy"": 0.6414666666666666, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 9622, ""support"": 15000}, {""accuracy"": 0.7262, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 10893, ""support"": 15000}, {""accuracy"": 0.7521333333333333, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11282, ""support"": 15000}, {""accuracy"": 0.9206, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 13809, ""support"": 15000}, {""accuracy"": 0.4096, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 6144, ""support"": 15000}, {""accuracy"": 0.7195333333333334, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10793, ""support"": 15000}, {""accuracy"": 0.8627333333333334, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 12941, ""support"": 15000}, {""accuracy"": 0.9441333333333334, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14162, ""support"": 15000}]","[[10966, 123, 272, 1258, 474, 53, 539, 978, 275, 62], [123, 12330, 882, 329, 123, 37, 701, 105, 325, 45], [373, 748, 9622, 1047, 1083, 85, 954, 659, 403, 26], [815, 289, 592, 10893, 1449, 11, 493, 302, 151, 5], [277, 94, 525, 1788, 11282, 44, 291, 339, 355, 5], [107, 17, 91, 23, 69, 13809, 114, 336, 16, 418], [952, 1247, 746, 588, 510, 91, 6144, 4544, 153, 25], [1132, 50, 265, 250, 396, 136, 1822, 10793, 143, 13], [280, 409, 392, 206, 595, 21, 61, 67, 12941, 28], [122, 46, 16, 10, 0, 601, 15, 10, 18, 14162]]"
A2,stack_val,hlt_only,0.75122,0.6998979653231303,0.6998979653263092,0.75122,,150000,18,accuracy,0.7529466666666667,[],/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/A2/best_model_val.pt,False,"[{""accuracy"": 0.7266666666666667, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10900, ""support"": 15000}, {""accuracy"": 0.8244666666666667, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 12367, ""support"": 15000}, {""accuracy"": 0.6366666666666667, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 9550, ""support"": 15000}, {""accuracy"": 0.7222666666666666, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 10834, ""support"": 15000}, {""accuracy"": 0.7477333333333334, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11216, ""support"": 15000}, {""accuracy"": 0.9239333333333334, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 13859, ""support"": 15000}, {""accuracy"": 0.4068, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 6102, ""support"": 15000}, {""accuracy"": 0.7190666666666666, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10786, ""support"": 15000}, {""accuracy"": 0.8616666666666667, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 12925, ""support"": 15000}, {""accuracy"": 0.9429333333333333, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14144, ""support"": 15000}]","[[10900, 130, 289, 1320, 456, 54, 507, 1007, 262, 75], [99, 12367, 865, 323, 142, 30, 684, 126, 331, 33], [381, 799, 9550, 1060, 1065, 77, 953, 638, 456, 21], [830, 255, 539, 10834, 1515, 20, 539, 318, 145, 5], [270, 77, 536, 1840, 11216, 44, 279, 359, 375, 4], [108, 16, 93, 27, 64, 13859, 110, 315, 18, 390], [947, 1195, 712, 560, 532, 110, 6102, 4668, 158, 16], [1130, 57, 267, 219, 419, 158, 1792, 10786, 154, 18], [253, 412, 424, 178, 622, 33, 59, 63, 12925, 31], [126, 38, 6, 3, 3, 614, 22, 20, 24, 14144]]"
B0,model_val,oracle,0.78812,0.6029203686078389,0.602920368613402,0.7881199999999999,,150000,20,accuracy,0.78812,"[""r0p02.delta_log_pt_sum"", ""r0p02.delta_pt_frac"", ""r0p02.missing_pt_frac"", ""r0p02.extra_pt_frac"", ""r0p02.delta_log_energy_sum"", ""r0p02.delta_eta_centroid"", ""r0p02.delta_phi_centroid"", ""r0p02.delta_r_centroid"", ""r0p02.delta_log_n"", ""r0p02.missing_n_frac"", ""r0p02.delta_charged_hadron_frac"", ""r0p02.delta_neutral_hadron_frac"", ""r0p02.delta_photon_frac"", ""r0p02.delta_electron_frac"", ""r0p02.delta_muon_frac""]",/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/B0/best_model_val.pt,False,"[{""accuracy"": 0.7134, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10701, ""support"": 15000}, {""accuracy"": 0.8234, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 12351, ""support"": 15000}, {""accuracy"": 0.6903333333333334, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 10355, ""support"": 15000}, {""accuracy"": 0.772, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 11580, ""support"": 15000}, {""accuracy"": 0.7482, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11223, ""support"": 15000}, {""accuracy"": 0.9368666666666666, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 14053, ""support"": 15000}, {""accuracy"": 0.5989333333333333, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 8984, ""support"": 15000}, {""accuracy"": 0.7127333333333333, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10691, ""support"": 15000}, {""accuracy"": 0.9163333333333333, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 13745, ""support"": 15000}, {""accuracy"": 0.969, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14535, ""support"": 15000}]","[[10701, 99, 326, 1312, 363, 24, 737, 1068, 326, 44], [79, 12351, 963, 288, 107, 26, 678, 51, 406, 51], [257, 689, 10355, 1393, 847, 66, 690, 279, 398, 26], [578, 330, 499, 11580, 1317, 15, 378, 144, 152, 7], [180, 113, 568, 1906, 11223, 48, 296, 271, 389, 6], [28, 11, 56, 4, 25, 14053, 62, 191, 24, 546], [655, 647, 507, 467, 358, 79, 8984, 3106, 170, 27], [796, 14, 138, 161, 297, 111, 2635, 10691, 145, 12], [193, 255, 240, 138, 262, 15, 50, 88, 13745, 14], [51, 24, 3, 6, 0, 335, 17, 5, 24, 14535]]"
B0,stack_val,oracle,0.7854,0.6089014047145843,0.6089014047209422,0.7854,,150000,20,accuracy,0.78812,"[""r0p02.delta_log_pt_sum"", ""r0p02.delta_pt_frac"", ""r0p02.missing_pt_frac"", ""r0p02.extra_pt_frac"", ""r0p02.delta_log_energy_sum"", ""r0p02.delta_eta_centroid"", ""r0p02.delta_phi_centroid"", ""r0p02.delta_r_centroid"", ""r0p02.delta_log_n"", ""r0p02.missing_n_frac"", ""r0p02.delta_charged_hadron_frac"", ""r0p02.delta_neutral_hadron_frac"", ""r0p02.delta_photon_frac"", ""r0p02.delta_electron_frac"", ""r0p02.delta_muon_frac""]",/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/B0/best_model_val.pt,False,"[{""accuracy"": 0.7059333333333333, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10589, ""support"": 15000}, {""accuracy"": 0.8218, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 12327, ""support"": 15000}, {""accuracy"": 0.6892, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 10338, ""support"": 15000}, {""accuracy"": 0.7686666666666667, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 11530, ""support"": 15000}, {""accuracy"": 0.7397333333333334, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11096, ""support"": 15000}, {""accuracy"": 0.9392666666666667, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 14089, ""support"": 15000}, {""accuracy"": 0.596, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 8940, ""support"": 15000}, {""accuracy"": 0.7127333333333333, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10691, ""support"": 15000}, {""accuracy"": 0.9166, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 13749, ""support"": 15000}, {""accuracy"": 0.9640666666666666, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14461, ""support"": 15000}]","[[10589, 125, 293, 1418, 354, 22, 717, 1110, 316, 56], [68, 12327, 986, 267, 116, 20, 702, 62, 415, 37], [261, 698, 10338, 1392, 841, 50, 694, 251, 442, 33], [599, 305, 479, 11530, 1329, 9, 435, 160, 152, 2], [188, 128, 587, 1923, 11096, 41, 357, 281, 397, 2], [31, 9, 43, 5, 27, 14089, 76, 185, 26, 509], [664, 596, 484, 420, 369, 88, 8940, 3266, 156, 17], [782, 13, 145, 154, 269, 140, 2634, 10691, 162, 10], [165, 241, 265, 142, 246, 28, 39, 102, 13749, 23], [63, 24, 2, 2, 4, 399, 11, 10, 24, 14461]]"
B1,model_val,oracle,0.7898533333333333,0.5941570992406209,0.5941570992437999,0.7898533333333333,,150000,19,accuracy,0.7898533333333333,"[""r0p02.delta_log_pt_sum"", ""r0p02.delta_pt_frac"", ""r0p02.missing_pt_frac"", ""r0p02.extra_pt_frac"", ""r0p02.delta_log_energy_sum"", ""r0p02.delta_eta_centroid"", ""r0p02.delta_phi_centroid"", ""r0p02.delta_r_centroid"", ""r0p02.delta_log_n"", ""r0p02.missing_n_frac"", ""r0p02.delta_charged_hadron_frac"", ""r0p02.delta_neutral_hadron_frac"", ""r0p02.delta_photon_frac"", ""r0p02.delta_electron_frac"", ""r0p02.delta_muon_frac"", ""r0p05.delta_log_pt_sum"", ""r0p05.delta_pt_frac"", ""r0p05.missing_pt_frac"", ""r0p05.extra_pt_frac"", ""r0p05.delta_log_energy_sum"", ""r0p05.delta_eta_centroid"", ""r0p05.delta_phi_centroid"", ""r0p05.delta_r_centroid"", ""r0p05.delta_log_n"", ""r0p05.missing_n_frac"", ""r0p05.delta_charged_hadron_frac"", ""r0p05.delta_neutral_hadron_frac"", ""r0p05.delta_photon_frac"", ""r0p05.delta_electron_frac"", ""r0p05.delta_muon_frac"", ""r0p1.delta_log_pt_sum"", ""r0p1.delta_pt_frac"", ""r0p1.missing_pt_frac"", ""r0p1.extra_pt_frac"", ""r0p1.delta_log_energy_sum"", ""r0p1.delta_eta_centroid"", ""r0p1.delta_phi_centroid"", ""r0p1.delta_r_centroid"", ""r0p1.delta_log_n"", ""r0p1.missing_n_frac"", ""r0p1.delta_charged_hadron_frac"", ""r0p1.delta_neutral_hadron_frac"", ""r0p1.delta_photon_frac"", ""r0p1.delta_electron_frac"", ""r0p1.delta_muon_frac"", ""flag.is_merged_token"", ""flag.has_missing_local_activity"", ""flag.has_large_local_shift"", ""local_reliability_score"", ""target_uncertainty_scale""]",/home/ryreu/atlas/Fresh_check/checkpoints/local_particle_residual_field_hltv2_s2p5_pilot_20260714_155824/taggers/B1/best_model_val.pt,False,"[{""accuracy"": 0.7312, ""class_index"": 0, ""class_name"": ""QCD"", ""correct"": 10968, ""support"": 15000}, {""accuracy"": 0.8349333333333333, ""class_index"": 1, ""class_name"": ""Hbb"", ""correct"": 12524, ""support"": 15000}, {""accuracy"": 0.7278666666666667, ""class_index"": 2, ""class_name"": ""Hcc"", ""correct"": 10918, ""support"": 15000}, {""accuracy"": 0.7246, ""class_index"": 3, ""class_name"": ""Hgg"", ""correct"": 10869, ""support"": 15000}, {""accuracy"": 0.7996666666666666, ""class_index"": 4, ""class_name"": ""H4q"", ""correct"": 11995, ""support"": 15000}, {""accuracy"": 0.9518666666666666, ""class_index"": 5, ""class_name"": ""Hqql"", ""correct"": 14278, ""support"": 15000}, {""accuracy"": 0.568, ""class_index"": 6, ""class_name"": ""Zqq"", ""correct"": 8520, ""support"": 15000}, {""accuracy"": 0.6823333333333333, ""class_index"": 7, ""class_name"": ""Wqq"", ""correct"": 10235, ""support"": 15000}, {""accuracy"": 0.9186666666666666, ""class_index"": 8, ""class_name"": ""Tbqq"", ""correct"": 13780, ""support"": 15000}, {""accuracy"": 0.9594, ""class_index"": 9, ""class_name"": ""Tbl"", ""correct"": 14391, ""support"": 15000}]","[[10968, 113, 444, 1247, 477, 24, 578, 782, 332, 35], [98, 12524, 985, 304, 120, 21, 511, 32, 377, 28], [232, 739, 10918, 886, 1000, 66, 536, 208, 398, 17], [612, 281, 1002, 10869, 1727, 7, 247, 93, 160, 2], [157, 82, 615, 1392, 11995, 47, 169, 183, 355, 5], [28, 10, 64, 3, 50, 14278, 39, 140, 16, 372], [825, 765, 718, 513, 539, 89, 8520, 2811, 204, 16], [978, 21, 210, 198, 395, 132, 2642, 10235, 184, 5], [173, 222, 259, 108, 348, 20, 33, 44, 13780, 13], [48, 32, 11, 4, 0, 490, 9, 1, 14, 14391]]"
